Date,Open,High,Low,Close,Volume
2022-03-29,142.647,143.794,142.038,142.506,34317020
2022-03-28,140.901,142.002,139.811,141.456,35049260
2022-03-25,141.916,142.035,139.738,141.673,24143080
2022-03-24,139.2,141.619,137.751,141.572,26396560
2022-03-23,138.703,139.588,137.835,138.276,25153400
2022-03-22,136.102,141.05,136.102,139.868,35495540
2022-03-21,136.164,137.05,134.092,136.102,26831680
2022-03-18,133.424,136.244,132.258,136.126,44566900
2022-03-17,133.149,134.08,132.185,133.839,28263920
2022-03-16,130.733,133.333,128.734,133.281,35576980
2022-03-15,126.976,129.854,125.72,129.198,30919520
2022-03-14,130.25,130.409,125.275,125.951,38811260
2022-03-11,133.488,133.796,129.632,129.87,31526440
2022-03-10,131.266,133.272,130.912,132.43,27101400
2022-03-09,131.25,133.736,129.901,133.42,37025400
2022-03-08,126.25,131.25,125.675,127.104,40427100
2022-03-07,131.488,131.735,126.295,126.378,45112940
2022-03-04,132.928,133.852,130.338,131.906,30450640
2022-03-03,136.01,136.439,133.026,133.9,24603240
2022-03-02,134.628,135.262,133.072,134.572,23519800
2022-03-01,134.878,136.256,133.218,134.062,26495360
2022-02-28,133.05,135.752,132.592,135.057,38864420
2022-02-25,133.552,135.272,131.752,134.46,36405980
2022-02-24,124.953,133.0,124.953,132.691,54455080
2022-02-23,131.648,132.051,127.528,127.588,32786020
2022-02-22,129.838,132.18,128.223,129.814,44990740
2022-02-18,133.467,134.07,130.196,130.403,45619440
2022-02-17,136.243,137.113,132.478,132.539,38949500
2022-02-16,136.646,138.086,134.924,137.738,25021300
2022-02-15,137.57,138.108,135.822,136.608,26711260
2022-02-14,133.257,136.3,133.257,135.526,34301080
2022-02-11,138.6,139.156,133.4,134.282,39958340
2022-02-10,139.704,141.484,137.957,138.62,39330660
2022-02-09,140.964,142.524,140.187,141.592,40143880
2022-02-08,139.026,140.0,137.014,139.399,54283600
2022-02-07,144.25,144.25,138.9,139.201,54973300
2022-02-04,143.445,144.875,140.515,143.293,57998220
2022-02-03,145.706,149.675,142.665,143.09,71517220
2022-02-02,151.25,151.547,145.523,148.0,123199220
2022-02-01,137.594,137.793,134.368,137.644,68643640
2022-01-31,134.162,135.473,132.21,135.304,39986000
2022-01-28,129.659,133.356,128.485,133.351,34361480
2022-01-27,131.304,132.652,128.932,129.005,32018780
2022-01-26,131.119,133.0,127.142,129.233,49129500
2022-01-25,128.74,129.399,126.501,126.935,46960560
2022-01-24,125.978,131.203,124.5,130.804,76694240
2022-01-21,132.594,134.866,130.086,130.352,55651420
2022-01-20,136.25,137.626,132.965,133.308,29907140
2022-01-19,136.523,137.96,135.016,135.116,28647640
2022-01-18,136.175,137.132,135.438,135.998,34888100
2022-01-14,137.079,140.742,136.998,139.48,29661280
2022-01-13,141.54,142.85,138.409,138.587,31436600
2022-01-12,141.15,142.608,140.694,141.43,26112040
2022-01-11,138.007,140.216,136.692,139.736,28729700
2022-01-10,135.078,138.82,133.164,138.67,44408120
2022-01-07,138.146,138.448,135.766,137.017,29760560
2022-01-06,136.998,139.94,136.558,137.748,37347420
2022-01-05,144.42,144.499,137.688,137.775,54618280
2022-01-04,145.396,146.485,143.716,144.4,28399440
2022-01-03,145.055,145.851,143.713,144.992,28678940
2021-12-31,146.05,146.698,144.852,144.852,18135180
2021-12-30,146.694,147.3,145.994,146.2,15687720
2021-12-29,146.644,147.417,145.647,146.655,17787460
2021-12-28,148.236,148.299,146.054,146.687,18254300
2021-12-27,147.256,148.344,147.169,147.906,15984460
2021-12-23,146.5,148.243,146.452,146.916,26383440
2021-12-22,143.068,146.5,143.068,146.415,26322380
2021-12-21,142.054,143.869,140.502,143.472,28755360
2021-12-20,140.12,141.774,139.321,141.607,27192360
2021-12-17,142.5,143.834,141.3,141.725,51017880
2021-12-16,147.17,147.677,143.607,144.445,33650380
2021-12-15,143.409,146.721,141.678,146.441,36370460
2021-12-14,143.968,144.48,141.215,143.907,38446240
2021-12-13,147.782,147.97,145.517,145.826,27069400
2021-12-10,148.7,148.978,146.704,148.002,24462760
2021-12-09,147.591,149.1,147.115,147.638,23269720
2021-12-08,147.596,148.393,146.406,148.186,24270320
2021-12-07,145.596,147.531,145.228,147.27,32240300
2021-12-06,143.04,143.853,140.15,143.155,30618100
2021-12-03,143.681,144.4,140.301,142.002,41230160
2021-12-02,141.25,143.864,140.214,142.966,29194840
2021-12-01,144.0,145.95,140.912,141.052,34055240
2021-11-30,145.008,146.0,141.602,141.897,42067220
2021-11-29,144.0,146.297,143.894,145.531,32595040
2021-11-26,144.348,144.558,141.842,142.183,30469240
2021-11-24,145.474,146.249,144.373,146.12,18040140
2021-11-23,146.153,146.66,144.115,145.782,27231160
2021-11-22,149.332,149.83,146.147,146.302,30629200
2021-11-19,149.975,150.966,148.899,148.926,33699380
2021-11-18,148.242,150.58,147.884,149.838,35628220
2021-11-17,148.028,148.56,147.24,148.047,19599500
2021-11-16,148.15,148.762,147.312,147.876,18904000
2021-11-15,148.901,149.55,147.575,148.452,23507040
2021-11-12,146.616,148.85,145.411,148.678,22360000
2021-11-11,146.49,147.536,145.6,145.766,16517480
2021-11-10,147.5,148.07,144.538,145.894,29969800
2021-11-09,149.233,149.834,147.245,148.918,19529740
2021-11-08,149.825,150.615,148.43,149.031,23052500
2021-11-05,149.17,150.328,148.197,148.852,38354740
2021-11-04,147.124,149.734,146.308,148.267,38411260
2021-11-03,145.901,146.669,144.591,146.598,27493240
2021-11-02,144.58,146.609,144.336,145.432,33482240
2021-11-01,148.046,148.046,143.226,143.497,46923240
2021-10-29,145.078,148.242,144.65,148.046,43320300
2021-10-28,147.134,147.158,144.627,145.849,36206380
2021-10-27,139.405,148.65,139.405,146.218,85781400
2021-10-26,139.264,140.083,138.305,139.308,49235020
2021-10-25,137.55,138.0,135.424,137.447,34412260
2021-10-22,139.15,140.583,136.056,137.566,50588960
2021-10-21,141.769,142.156,140.5,141.886,26292260
2021-10-20,143.338,143.546,141.377,141.769,23288060
2021-10-19,143.388,143.662,142.6,143.237,20163000
2021-10-18,141.076,142.796,141.069,142.778,20396160
2021-10-15,141.614,141.718,140.755,141.368,30274440
2021-10-14,139.474,141.337,138.825,141.151,31927940
2021-10-13,137.402,138.0,136.519,137.582,19662320
2021-10-12,139.48,139.507,135.76,136.449,36332240
2021-10-11,139.292,140.712,138.859,138.914,17953620
2021-10-08,139.577,140.331,139.218,139.786,26525840
2021-10-07,138.892,140.042,138.651,139.225,25110140
2021-10-06,134.75,137.75,134.55,137.565,24364280
2021-10-05,134.041,137.224,134.041,136.023,32403260
2021-10-04,135.96,135.96,131.05,133.66,51201940
2021-10-01,134.448,136.91,134.073,136.543,35360180
2021-09-30,134.262,135.542,133.556,133.676,38028800
2021-09-29,136.98,137.151,133.865,134.354,30848700
